,Source,Production,dayOfYear,dayName,monthName,Total_time
7451,Solar,1191.0,277,Saturday,October,1
7452,Solar,12.0,1,Friday,January,1
7455,Solar,0.0,163,Thursday,June,1
7456,Solar,893.0,277,Saturday,October,1
7457,Solar,681.0,1,Friday,January,1
7460,Solar,0.0,163,Thursday,June,1
7461,Solar,0.0,277,Saturday,October,1
7462,Solar,1058.0,1,Friday,January,1
7465,Solar,0.0,163,Thursday,June,1
7466,Solar,0.0,277,Saturday,October,1
7467,Solar,899.0,1,Friday,January,1
7470,Solar,279.0,163,Thursday,June,1
7471,Solar,0.0,278,Sunday,October,1
7472,Solar,8.0,1,Friday,January,1
7475,Solar,21.0,164,Friday,June,1
7476,Solar,1558.0,278,Sunday,October,1
7477,Solar,0.0,2,Saturday,January,1
7480,Solar,2199.0,164,Friday,June,1
7481,Solar,0.0,278,Sunday,October,1
7482,Solar,3.0,2,Saturday,January,1
7485,Solar,693.0,164,Friday,June,1
7486,Solar,0.0,279,Monday,October,1
7487,Solar,105.0,2,Saturday,January,1
7490,Solar,0.0,165,Saturday,June,1
7491,Solar,0.0,279,Monday,October,1
7492,Solar,749.0,2,Saturday,January,1
7495,Solar,0.0,165,Saturday,June,1
7496,Solar,168.0,279,Monday,October,1
7497,Solar,0.0,2,Saturday,January,1
7500,Solar,271.0,165,Saturday,June,1
7501,Solar,2168.0,279,Monday,October,1
7502,Solar,0.0,3,Sunday,January,1
7505,Solar,1555.0,165,Saturday,June,1
7506,Solar,1849.0,279,Monday,October,1
7507,Solar,0.0,3,Sunday,January,1
7510,Solar,2304.0,165,Saturday,June,1
7511,Solar,295.0,279,Monday,October,1
7512,Solar,0.0,3,Sunday,January,1
7515,Solar,2149.0,165,Saturday,June,1
7516,Solar,0.0,280,Tuesday,October,1
7517,Solar,10.0,3,Sunday,January,1
7520,Solar,1946.0,165,Saturday,June,1
7521,Solar,0.0,280,Tuesday,October,1
7522,Solar,2.0,3,Sunday,January,1
7525,Solar,832.0,165,Saturday,June,1
7526,Solar,1053.0,280,Tuesday,October,1
7527,Solar,0.0,4,Monday,January,1
7529,Solar,0.0,183,Wednesday,July,1
7530,Solar,28.0,165,Saturday,June,1
7531,Solar,0.0,280,Tuesday,October,1
7532,Solar,486.0,4,Monday,January,1
7534,Solar,33.0,183,Wednesday,July,1
7535,Solar,311.0,166,Sunday,June,1
7536,Solar,0.0,281,Wednesday,October,1
7537,Solar,767.0,4,Monday,January,1
7539,Solar,1456.0,183,Wednesday,July,1
7540,Solar,954.0,166,Sunday,June,1
7541,Solar,0.0,281,Wednesday,October,1
7542,Solar,0.0,4,Monday,January,1
7544,Solar,2490.0,183,Wednesday,July,1
7545,Solar,2549.0,166,Sunday,June,1
7546,Solar,0.0,281,Wednesday,October,1
7547,Solar,0.0,5,Tuesday,January,1
7549,Solar,2418.0,183,Wednesday,July,1
7550,Solar,878.0,166,Sunday,June,1
7551,Solar,1426.0,281,Wednesday,October,1
7552,Solar,10.0,5,Tuesday,January,1
7554,Solar,37.0,183,Wednesday,July,1
7555,Solar,2767.0,167,Monday,June,1
7556,Solar,0.0,281,Wednesday,October,1
7557,Solar,795.0,5,Tuesday,January,1
7559,Solar,1.0,184,Thursday,July,1
7560,Solar,3175.0,167,Monday,June,1
7561,Solar,0.0,281,Wednesday,October,1
7562,Solar,0.0,5,Tuesday,January,1
7564,Solar,0.0,184,Thursday,July,1
7565,Solar,1643.0,167,Monday,June,1
7566,Solar,0.0,281,Wednesday,October,1
7567,Solar,0.0,6,Wednesday,January,1
7569,Solar,0.0,184,Thursday,July,1
7570,Solar,257.0,167,Monday,June,1
7571,Solar,822.0,282,Thursday,October,1
7572,Solar,238.0,6,Wednesday,January,1
7574,Solar,2138.0,184,Thursday,July,1
7575,Solar,31.0,167,Monday,June,1
7576,Solar,2212.0,282,Thursday,October,1
7577,Solar,16.0,6,Wednesday,January,1
7579,Solar,809.0,184,Thursday,July,1
7580,Solar,0.0,167,Monday,June,1
7581,Solar,2524.0,282,Thursday,October,1
7582,Solar,1.0,6,Wednesday,January,1
7584,Solar,0.0,185,Friday,July,1
7585,Solar,0.0,168,Tuesday,June,1
7586,Solar,0.0,282,Thursday,October,1
7587,Solar,0.0,6,Wednesday,January,1
